Date,Revenue,Operating_Expenses,Marketing_Spend,Net_Profit
2021-01-01,53919,29873,6932,17114
2021-01-31,55853,32871,8278,14704
2021-03-02,59085,33246,6071,19768
2021-04-01,61318,31060,11787,18471
2021-05-01,64323,42668,6751,14904
2021-05-31,66638,44916,9090,12632
2021-06-30,69180,40701,12924,15555
2021-07-30,71270,44336,9781,17153
2021-08-29,75721,51029,14661,10031
2021-09-28,79973,44563,14738,20672
2021-10-28,85712,49316,10808,25588
2021-11-27,111425,67146,21507,22772
2021-12-27,114452,72971,16507,24974
2022-01-26,117179,63583,22030,31566
2022-02-25,121603,82604,16470,22529
2022-03-27,127163,72453,21826,32884
2022-04-26,135902,71345,19924,44633
2022-05-26,141000,82701,14491,43808
2022-06-25,148059,81246,28234,38579
2022-07-25,153024,106602,25238,21184
2022-08-24,162452,112410,28601,21441
2022-09-23,173902,121182,31269,21451
2022-10-23,187265,118441,24401,44423
2022-11-22,243444,161491,32018,49935
2022-12-22,258439,143023,44352,71064
2023-01-21,274085,184298,50372,39415
2023-02-20,289375,157825,36509,95041
2023-03-22,297591,160538,33087,103966
2023-04-21,316083,206438,33237,76408
2023-05-21,326997,172817,43161,111019
2023-06-20,339966,179248,58583,102135
2023-07-20,353731,178135,57845,117751
2023-08-19,371926,240718,49184,82024
2023-09-18,391949,226516,69369,96064
2023-10-18,421280,241930,53761,125589
2023-11-17,547664,286386,58863,202415
2023-12-17,560110,304719,60406,194985
2024-01-16,593698,315254,64828,213616
2024-02-15,640680,416117,123388,101175
2024-03-16,689372,404613,121415,163344
2024-04-15,724148,502656,119269,102223
2024-05-15,754108,413962,132185,207961
2024-06-14,810253,457593,160692,191968
2024-07-14,853658,470639,123982,259037
2024-08-13,910938,560214,155273,195451
2024-09-12,967602,554163,112244,301195
2024-10-12,994495,647732,152310,194453
2024-11-11,1292843,687024,250819,355000
